(<Command.Updated: 2>, <class '__main__.Node'>)
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollDown: 3>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.Updated: 2>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
(<Command.ScrollUp: 4>, Node(style={border=True, border-color=white, text-align=start, align-items=start}))
